,News,Classification
1376,It projected revenue of $ 2.2 billion to $ 2.3 billion  slightly higher than analyst estimates of $ 2.19 billion .,positive
1377,The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present .,neutral
1378,Ruukki Romania  the local arm of Finnish metal producer Ruukki  increased its capital by 900000 euro ( $ 1.14 mln ) through cash contribution  it was reported on September 19  2006 .,positive
1379,No price was given for the transaction  which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .,neutral
1380,Nordea will coordinate the syndicated loan .,neutral
1381,The fixed-term contract of Mr. Jarmo Ukonaho  the current General Manager of Incap 's Indian operations  will finish by the end of the year .,neutral
1382,Established in 1989  CapMan manages Nordic buyout  mezzanine  technology  life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .,neutral
1383,OVA Press has a 60 % stake in the joint venture  while IMSM holds a 40 % stake .,neutral
1384,As part of the agreement  Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu  Finland .,neutral
1385,Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative
1386,The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company  operating in Alma Media 's home sales  vehicle and consumer advertising marketplace businesses .,neutral
1387,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral
1388,The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing  charging and rating of voice calls  video calls  raw data traffic and any type of content services in both mobile and fixed networks .,neutral
1389,I can say categorically  no  ' Wahlroos was quoted as saying by the paper  when asked about Sampo 's interest in making a bid for RSA .,neutral
1390,U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom  an executive at Coscom told Interfax .,neutral
1391,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive
1392,Sales of mid-strength beer decreased by 40 % .,negative
1393,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive
1394,In January-September 2009  the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .,positive
1395,This implementation is very important to the operator  since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .,neutral
1396,Svyturys-Utenos Alus  which is controlled by the Nordic group Baltic Beverages Holding ( BBH )  posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .,positive
1397,Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122000 in 2005 profit  which is 20 times more that in 2004 .,positive
1398,Device volume in the area decreased by 21 % to 2.7 mn units .,negative
1399,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,negative
1400,Cargotec Corporation  Press Release  August 26  2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .,positive
1401,Also  a seven-year historic analysis is provided for these markets .,neutral
1402,It is being developed by Symbian  the software licensing consortium led by Nokia .,neutral
1403,The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .,negative
1404,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .,positive
1405,Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,neutral
1406,Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850000 new Ixonos shares .,neutral
1407,The utility will also provide services related to electricity management  such as hedging trades and risk management and reporting .,neutral
1408,ISMS does not disclose its financial results  the daily said .,neutral
1409,Forestries were also higher  driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri  dealers said .,positive
1410,The sales price was not disclosed .,neutral
1411,Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,neutral
1412,This wood lacquered clock comes with a stripy hand-crocheted cover .,neutral
1413,Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry  as well as products used in environmental protection .,neutral
1414,According to HK Ruokatalo  almost all the meat used by the company comes from Finland .,neutral
1415,Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan  China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .,neutral
1416,Operating loss before non-recurring items was EUR 0.9 mn  compared to a profit of EUR 11.5 mn in 2008 .,negative
1417,Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries  Stockmann said Monday .,positive
1418,The announced restructuring will significantly decrease the Company 's indebtedness .,positive
1419,Fiskars  a 360-year-old global business best known for its orange-handled scissors  expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .,positive
1420,Profit before taxes was EUR 5.4 mn  up from EUR 3.6 mn a year earlier .,positive
1421,Sales in Finland decreased by 10.5 % in January  while sales outside Finland dropped by 17 % .,negative
1422,Financial details were not disclosed .,neutral
1423,According to the original merger plan  Scanfil would get a 79 % stake in the combined business .,neutral
1424,"Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences , Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences",neutral
1425,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral
1426,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative
1427,Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .,neutral
1428,( ADP News ) - Sep 30  2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te,positive
1429,Risto Jalo  chief executive of Dormus Print and also owner of the remainder of the company  will keep his position after the acquisition .,neutral
1430,Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,neutral
1431,Mr. Mikko Saavalainen  head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business  technical and regulatory challenges operators are facing in their OSS today .,neutral
1432,Finnish GeoSentric 's net sales decreased to EUR 939000 in January-March 2009 .,negative
1433,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive
1434,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive
1435,Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand  especially in the third quarter  and the overall growth of its business .,positive
1436,The Finnish national carrier said net loss in April through June was euro26 million  down from a net profit of euro13 million a year earlier .,negative
1437,Loss after financial items totalled EUR 9.7 mn  compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .,negative
1438,In the Baltic countries  Atria 's target is organic growth .,neutral
1439,During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760  the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .,neutral
1440,Reported operating margin was a negative 5.9 % .,negative
1441,Jensen  Njastein and Mike Critch  the head of Dovre North America business unit  will report to Toivola .,neutral
1442,The new majority owners of Aspocomp Thailand Co.  Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner  Saha Pathana Inter-Holding Plc. .,neutral
1443,Amer  which bought Salomon from adidas in October  said the job cuts are aimed at boosting competitiveness .,neutral
1444,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,neutral
1445,The situation of coated magazine printing paper will continue to be weak .,negative
1446,Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki  Mid Cap List .,neutral
1447,"CDP was established on the initiative of institutional investors , however  the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral
1448,Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative
1449,The plant is expected to enter commercial operation by mid-2009 .,neutral
1450,Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia  and will be actively advertised by Maxis in the end of May 2007 .,neutral
1451,Neste Oil will publish its third quarter 2008 results on Friday  24 October 2008 at approximately 9 am ( EET ) .,neutral
1452,Thus the group 's balance sheet will have about EUR 25.8 million of goodwill  the company added .,neutral
1453,With five different game modes  co-op tournaments  4 player split-screen and multiplayer modes  players can have as much fun as they would if they were actually fishing .,neutral
1454,As such  the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .,neutral
1455,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative
1456,no compensation for its news  opinions or distributions .,neutral
1457,The reason for this is St. Petersburg status as a capital  one of the participants in the meeting quoted Chikunov as saying .,neutral
1458,In the building and home improvement trade  sales decreased by 22.5 % to EUR 201.4 mn .,negative
1459,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,positive
1460,According to Atria 's President and CEO Matti Tikkakoski  the company 's Swedish operations significantly improved in the first quarter .,positive
1461,Finnish Honkarakenne that specialises in the building of log houses is planning to use pine from Russian Karelia .,neutral
1462,VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral
1463,Cencorp estimates that its net sales in the last quarter will be as earlier stated  EUR4 .3 m to EUR5 .0 m  and operating profit (EBIT)is estimated to be positive .,positive
1464,Symphony Services provides development services for Aldata GOLD .,neutral
1465,A 2001 agreement expired earlier this month .,neutral
1466,Simultaneously  his responsibility area is extended from legal affairs to cover also mergers and acquisitions .,neutral
1467,UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral
1468,For Q2 2010  consolidated earnings before tax totaled EUR4 .5 m  compared to EUR3 .9 m  and net profit was EUR3 .2 m  compared to EUR2 .9 m in the previous year .,positive
1469,Operating profit was EUR 11.4 mn  up from EUR 7.5 mn .,positive
1470,The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40000 tonnes a day .,neutral
1471,Following the acquisitions  Panostaja will establish a new business unit which will focus on heat treatment of metals .,neutral
1472,EBIT excluding non-recurring items  totalled EUR 67.8 mn  up from EUR 38.1 mn .,positive
1473,`` We have tailored our solutions to meet Solel 's technical requirements  and the result is both cost-effective manufacturing and highest-quality reflectors . '',positive
1474,Raisio is the site of the main production plants as well as company headquarters .,neutral
1475,In addition  Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .,positive
1476,As capacity was cut with 1.4 %  the passenger load factor was down 7.8 percentage points .,negative
1477,However  the bottom-line result improved thanks to positive financial items .,positive
1478,Net profit in the same period in 2006 was 36.6 million euros .,neutral
1479,ITG 's share in the deal is estimated at some 500000 euro $ 627000 .,neutral
1480,The start of the negotiations  relating to Glaston 's efficiency program  was announced in October .,neutral
1481,LKAB  headquartered in Lulea  Sweden  is a high-tech mining company producing upgraded iron ore products for the steel industry .,neutral
1482,Each share is entitled to one vote .,neutral
1483,Both operating profit and turnover for the six-month period increased  respectively from EUR0 .1 m and EUR29 .0 m  as compared to the corresponding period a year ago .,positive
1484,Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,neutral
1485,We are very pleased with the fine co-operation between the two countries in recent times  he said .,positive
1486,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive
1487,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral
1488,Revenue from July to September grew 21 percent to EURO 2.3 billion  the Finnish company said Thursday .,positive
1489,OP-Pohjola Group 's capital adequacy ratio under the Act on Credit Institutions stood at 12.1 % and Tier 1 ratio at 12.1 % .,neutral
1490,No financial details were revealed .,neutral
1491,The major breweries increased their domestic beer sales by 4.5 per cent last year  to 256.88 million litres from 245.92 million litres in 2004 .,positive
1492,Net interest income was EUR 39.3 mn  up from EUR 32.7 mn .,positive
1493,The product range includes marinated olives  cold cuts  and pates  for example .,neutral
1494,The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral
1495,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral
1496,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral
1497,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive
1498,On the route between Helsinki in Finland and Tallinn in Estonia  cargo volumes increased by 36 %  while cargo volumes between Finland and Sweden fell by 9 % .,neutral
1499,The most important export markets are Norway  Germany  Russia and France .,neutral
1500,`` It allows the young child to move forward with his life . '',positive
1501,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,positive
1502,Approval by shareholders of Cencorp in accordance with Finnish law .,neutral
1503,Net sales went up by 1 % year-on-year to EUR 29 million  affected by the business acquisitions  realized during the previous financial period  the effect of which was EUR 5.1 million on the review period .,positive
1504,Componenta is a metal sector company with international operations and production plants located in Finland  the Netherlands  Sweden and Turkey .,neutral
1505,The Finnish company sold its UK operation - consisting of 50 staff in offices in London  Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .,neutral
1506,The business transfer will take effect from 1 January 2007  and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .,neutral
1507,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,neutral
1508,The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,neutral
1509,Vaisala  headquartered in Helsinki in Finland  develops and manufactures electronic measurement systems for meteorology  environmental sciences  traffic and industry .,neutral
1510,The plant will be fired with a combination of spruce bark  chipped logging residues or milled peat .,neutral
1511,In China  Finnish Kone that provides elevators  escalators  and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .,positive
1512,Vehvilainen  who is currently the chief operating officer at Nokia Siemens Networks  will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .,neutral
1513,HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,positive
1514,RSA 's shares closed at 156.9 p at the time of going to press .,neutral
1515,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,positive
1516,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,neutral
1517,The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,neutral
1518,Ruukki Group calculates that it has lost EUR 4mn in the failed project .,negative
1519,Before FKI  John Jiang has worked in several general manager or senior business consultant positions for international companies in China .,neutral
1520,The invention carries International Patent Publication No. .,neutral
1521,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral
1522,F-Secure Online Backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .,neutral
1523,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,neutral
1524,The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65200 dwt .,positive
1525,Net sales dropped by 6 % year-on-year to EUR 11.9 million .,negative
1526,ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,neutral
1527,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,positive
1528,A downloadable instruction sheet  instructional video  and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .,neutral
1529,The new company  DiaPol S.r.l.  would manufacture tools meant for glass and stone pre-processing .,neutral
1530,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive
1531,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive
1532,The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe  from where they will be delivered to VR for welding and assembly .,neutral
1533,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative
1534,`` Management decided at the end of 2005 to increase cathode copper capacity .,neutral
1535,The company said that paper demand increased in all of its main markets  including of publication papers  and that it increased average paper prices by 4 percent compared with last year .,positive
1536,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral
1537,It will focus on improving its profitability next year by streamlining operations .,positive
1538,In contrast  the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .,positive
1539,Lemmink+ñinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,neutral
1540,M-real  which is part of Finnish paper maker Metsaliitto Group  is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .,neutral
1541,In addition  the company is considering the start of production in Russia .,neutral
1542,Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November )  posting an operating profit of EUR0 .4 m  as compared to a loss of EUR0 .5 m in the third quarter of 2007 .,positive
1543,The company expects its net sales for the whole 2009 to be at previous year levels .,neutral
1544,The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral
1545,Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars .,neutral
1546,The Group  with net sales of EUR 235 million in 2009  employs more than 2 000 people in 33 countries .,neutral
1547,` After fixing our home-base  cutting costs and closing the non-profitable units  we are now looking at going forward  ' she said .,positive
1548,` Nordic infrastructure construction is one of our strategic growth areas .,neutral
1549,Central Europe is an important market area for Honka .,neutral
1550,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive
1551,The subscription period of Amer Sports ' 2002 warrant scheme will end on 31 December 2007 .,neutral
1552,In the fourth quarter of 2006  OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .,neutral
1553,The orders are for 26 machine-room-less KONE MonoSpace elevators  which would be installed during 2006 .,neutral
1554,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,negative
1555,The steelmaker said that the drop in profit was explained by the continuing economic uncertainty  mixed with the current drought in bank lending  resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .,negative
1556,Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier  the Finnish company said .,negative
1557,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative
1558,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,negative
1559,Operating profit  excluding non-recurring items  totalled EUR 2.2 mn  down from EUR 2.7 mn in the corresponding period in 2008 .,negative
1560,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive
1561,Welcome !,neutral
1562,`` We know there are some of our own people out there . '',neutral
1563,Alma Media holds 70 % of this company  the remaining shares being owned by the company 's key employees .,neutral
1564,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive
1565,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral
1566,Cencorp  headquartered in Virkkala  Finland  develops and supplies automation solutions to the electronics and semiconductor industry that enhance productivity .,neutral
1567,Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO  Kari Kallio  has informed the board of his intention to retire in year 2009 .,neutral
1568,Ethanol would be made from barley  and production could start in 2008 .,neutral
1569,SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14  2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .,negative
1570,Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,neutral
1571,Profitability ( EBIT % ) was 13.6 %  compared to 14.3 % in Q2 2009 .,negative
1572,HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits  which overshadowed the large number of new orders received during the three months .,negative
1573,mr Bakman sees also expansion options on the Tallinn-Helisnki link  claiming however  that operating the link with only a single ship is not enough .,neutral
1574,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral
1575,Paper company M-real calculated that if 100000 biscuit cartons are made using a 25gsm lighter board  the CO2 saved over the course of 12 months would be equal to that generated by driving 1000 km by car .,neutral
1576,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
1577,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .,positive
1578,With this acquisition the wireless modem unit and its approximately 1100 employees were transferred to Renesas Electronics Corporation .,neutral
1579,The value of the orders is about EUR 25mn .,neutral
1580,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive
1581,The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V .,neutral
1582,The deal includes an option for Cramo to buy out the minority stake in 2011 .,neutral
1583,Last July  the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars  in the east of France  where it already operates a hook manufacturing and distribution unit .,neutral
1584,ST. PETERSBURG  Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011  the company 's President Kim Gran told reporters Thursday .,positive
1585,TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .,positive
1586,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive
1587,Two other sites will be included later on .,neutral
1588,NWC ANALYSIS :,neutral
1589,Finnish Kemira 's net sales EUR decreased to EUR 1259.6 mn in January-June 2009 from EUR 1425.1 mn in January-June 2008 .,negative
1590,Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,positive
1591,The aim is to achieve EUR 2.5 mn yearly savings .,positive
1592,In addition to verification of an identity and digital signatures  new state-approved Mobile ID enables to cast votes in elections as well .,neutral
1593,This new partnership agreement represents a significant milestone for both parties .,positive
1594,The transaction is subject to a final agreement between the parties  approvals of their decision-making bodies and approval by the Finnish Competition Authority .,neutral
1595,Incap  headquartered in Oulu  Finland  is a electronics contract manufacturer with some 750 employees in Finland  Estonia and India .,neutral
1596,HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur  up from 48.6 mln on the back of strong sales .,positive
1597,The output of the contracts totals 72 MWe .,neutral
1598,The Liquid Handling segment offers laboratory equipment and accessories  including mechanical and electronic pipettes  and disposable tips used in the research institutions  universities  and hospitals  as well as in the pharmaceutical  food  and other industries under the Biohit brand .,neutral
1599,According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006  Coca-Cola is the market leader in soft drinks in Finland .,positive
1600,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,negative
1601,Basware finances the acquisition with a bank loan .,neutral
1602,It holds 38 percent of Outokumpu 's shares and voting rights  but in 2001 lawmakers gave it permission to reduce the stake to 10 percent .,neutral
1603,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,positive
1604,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,neutral
1605,Copper  lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??,negative
1606,Established in 1987  the SRV Group is a private Finnish construction concern with operations in Finland  the Baltic countries and Russia .,neutral
1607,The joint venture will invest about EUR 500000 in production technology straight away .,neutral
1608,Savon koulutuskuntayhtyma  Finland based company has awarded contract for specialist agricultural or forestry machinery .,positive
1609,Profit for the period was EUR 5.9 mn  up from EUR 1.3 mn .,positive
1610,On 25 August 2009  Sampo 's stake in Nordea was 19.45 % .,neutral
1611,German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers  and Dutch ING ( AMS : INGA ) as co-arranger .,neutral
1612,The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 000 .,neutral
1613,Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive
1614,Simmons Elected DCUC Chairman PORTSMOUTH  N.H.-Gordon A. Simmons  CEO of Service Credit Union  has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .,neutral
1615,The business area has operations in Finland  Sweden  Denmark  Estonia  Latvia and Lithuania .,neutral
1616,Both operating profit and turnover for the nine-month period increased  respectively from EUR2 .4 m and EUR43 .8 m  as compared to the corresponding period a year ago .,positive
1617,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive
1618,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral
1619,The medium-term operative targets of the company remain unchanged .,neutral
1620,The value of the contract is EUR 25mn .,neutral
1621,Satama 's net profit for the third quarter of 2007 rose to 275000 euro ( $ 395000 ) from 270000 euro ( $ 388000 ) for the same period of 2006 .,positive
1622,Vaisala 's Present Weather Detector measures visibility up to 20 km  as well as precipitation type and intensity .,neutral
1623,The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes .,neutral
1624,No changes in media activity were seen in October compared with September .,neutral
1625,The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,neutral
1626,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral
1627,CapMan  an asset manager  has EUR 3bn worth of assets under management in the Nordic region .,neutral
1628,The total capacity of the factory will be approximately 100 engines a year .,neutral
1629,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral
1630,Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2300 from the previously announced 2700 .,negative
1631,According to preliminary data from Slovakia 's Statistics Office  goods worth E36 .4 million were imported from Finland between January and October 2010  making up 0.1 percent of Slovakia 's total imports .,neutral
1632,The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral
1633,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive
1634,Aspocomp said it will spin off its Chinese and Indian units  and some equipment from its Salo plant in Finland  into a newly-formed unit  most of which it will then sell on to Hong Kong-listed Meadville .,neutral
1635,The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000  a net combined ratio of 133 % and 175 staff in total with offices in the UK  Germany and Benelux .,neutral
1636,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive
1637,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral
1638,The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result  starting from fiscal year 2007 .,positive
